id_wykonania;data wykonania;id_klienta;id_us³ugi
1;2011-01-03;1;2
2;2011-01-07;4;5
3;2011-01-13;57;4
4;2011-01-19;4;5
5;2011-01-25;25;4
6;2011-01-31;8;3
7;2011-02-04;12;4
8;2011-02-10;8;2
9;2011-02-16;6;5
10;2011-02-22;13;5
11;2011-02-28;47;5
12;2011-03-04;42;4
13;2011-03-10;6;2
14;2011-03-13;58;5
15;2011-03-22;60;5
16;2011-03-28;24;2
17;2011-04-01;34;4
18;2011-04-07;11;5
19;2011-04-13;29;1
20;2011-04-19;30;5
21;2011-04-25;46;4
22;2011-04-29;24;4
23;2011-05-05;54;1
24;2011-05-11;23;1
25;2011-05-17;57;5
26;2011-05-23;33;4
27;2011-05-26;46;3
28;2011-05-31;5;1
29;2011-06-03;21;5
30;2011-06-08;40;1
31;2011-06-13;30;1
32;2011-06-16;53;5
33;2011-06-21;56;5
34;2011-06-24;56;1
35;2011-06-29;17;1
36;2011-07-04;22;1
37;2011-07-07;20;2
38;2011-07-12;18;2
39;2011-07-15;27;4
40;2011-07-20;39;2
41;2011-07-25;1;4
42;2011-07-28;14;5
43;2011-08-02;24;3
44;2011-08-09;25;1
45;2011-08-16;19;2
46;2011-08-23;28;3
47;2011-08-30;23;3
48;2011-09-06;50;1
49;2011-09-07;2;5
50;2011-09-08;54;1
51;2011-09-10;26;5
52;2011-09-13;26;3
53;2011-09-16;21;4
54;2011-09-18;21;4
55;2011-09-20;55;2
56;2011-09-21;42;3
57;2011-09-22;7;2
58;2011-09-27;51;5
59;2011-10-04;46;3
60;2011-10-11;32;2
61;2011-10-18;7;2
62;2011-10-22;38;5
63;2011-10-25;41;4
64;2011-10-26;33;3
65;2011-10-27;54;5
66;2011-10-28;40;5
67;2011-11-08;37;5
68;2011-11-15;38;3
69;2011-11-17;49;1
70;2011-11-19;45;5
71;2011-11-21;36;4
72;2011-11-23;29;5
73;2011-11-25;40;3
74;2011-11-27;15;3
75;2011-11-29;24;2
76;2011-12-01;12;3
77;2011-12-03;49;4
78;2011-12-05;15;3
79;2011-12-07;54;5
80;2011-12-09;47;5
81;2011-12-11;44;2
82;2011-12-13;26;5
83;2011-12-15;17;4
84;2011-12-17;44;2
85;2011-12-19;18;2
86;2011-12-21;59;4
87;2011-12-23;27;5
88;2011-12-27;2;2
89;2011-12-28;55;1
90;2011-12-29;7;4
91;2011-12-30;56;2
92;2011-12-31;48;2
93;2012-01-03;23;2
94;2012-01-04;5;1
95;2012-01-05;47;1
96;2012-01-06;50;5
97;2012-01-07;57;3
98;2012-01-08;42;4
99;2012-01-09;36;2
100;2012-01-10;59;3
